412;1.03602E+11;Deudores por Venta de Activos Extraordinarios
413;1036020103;Microcréditos
414;1.03602E+11;Préstamos
415;1.03602E+13;Fiduciarios
416;1.03602E+13;Prendarios – fiduciarios
417;1.03602E+13;Prendarios
418;1.03602E+13;Hipotecarios – fiduciarios
419;1.03602E+13;Hipotecarios – prendarios
420;1.03602E+13;Hipotecarios
421;1.03602E+13;Derechos de posesión
422;1.03602E+13;Hipotecarios - prendarios – fiduciarios
423;1.03602E+13;Con garantía de obligaciones depositarias propias
424;1.03602E+11;Deudores por venta de activos extraordinarios
425;1036020104;Vivienda
426;1.03602E+11;Préstamos
427;1.03602E+13;Fiduciarios
428;1.03602E+13;Prendarios – fiduciarios
429;1.03602E+13;Prendarios
430;1.03602E+13;Hipotecarios – fiduciarios
431;1.03602E+13;Hipotecarios – Prendarios
432;1.03602E+13;Hipotecarios
433;1.03602E+13;Derechos de posesión
434;1.03602E+13;Hipotecarios - prendarios – fiduciarios
435;1.03602E+13;Con garantía de obligaciones depositarias propias
436;1036020105;Consumo
437;1.03602E+11;Préstamos
438;1.03602E+13;Fiduciarios
439;1.03602E+13;Prendarios – fiduciarios
440;1.03602E+13;Prendarios
441;1.03602E+13;Hipotecarios – fiduciarios
442;1.03602E+13;Hipotecarios – prendarios
443;1.03602E+13;Hipotecarios
444;1.03602E+13;Derechos de posesión
445;1.03602E+13;Hipotecarios - prendarios – fiduciarios
446;1.03602E+13;Con garantía de obligaciones depositarias propias
447;1.03602E+11;Tarjetas de crédito
448;1.03602E+11;Deudores por venta de activos extraordinarios
449;10360202;En cobro administrativo
450;1036020202;Productivos
451;1.03602E+11;Préstamos
452;1.03602E+13;Fiduciarios
453;1.03602E+13;Prendarios – fiduciarios
454;1.03602E+13;Prendarios
455;1.03602E+13;Hipotecarios – fiduciarios
456;1.03602E+13;Hipotecarios – prendarios
457;1.03602E+13;Hipotecarios
458;1.03602E+13;Derechos de posesión
459;1.03602E+13;Hipotecarios - prendarios – fiduciarios
460;1.03602E+13;Con garantía de obligaciones depositarias propias
461;1.03602E+11;Deudores por venta de activos extraordinarios
462;1036020203;Microcréditos
463;1.03602E+11;Préstamos
464;1.03602E+13;Fiduciarios
465;1.03602E+13;Prendarios – fiduciarios
466;1.03602E+13;Prendarios
467;1.03602E+13;Hipotecarios – fiduciarios
